,facility type,Access days time fr,open_date,latitude,longitude,street address,city,zip,state
0,,,2017-09-01,34.785416,-86.942864,21282 Athens-Limestone Blvd.,Athens,35613,AL
1,,,2015-01-01,32.627837,-85.445105,1627 Opelika Road,Auburn,36830,AL
2,,,2016-12-01,33.525826,-86.807072,2221 Richard Arrington Junior Blvd.,Birmingham,35203,AL
3,,,2015-01-01,31.855989,-86.635765,219 Interstate Drive,Greenville,36037,AL
4,,,2015-03-01,30.671556,-88.118644,3201 Airport Blvd,Mobile,36606,AL
5,,,2018-07-23,33.609937,-85.782118,1105 Oxford Exchange Blvd,Oxford,36203,AL
6,,,2017-08-01,33.933824,-86.191611,905 Steele Station Road,Steele,35987,AL
7,,,2017-09-01,34.6614,-92.41031,11201 Bass Pro Parkway,Little Rock,72210,AR
8,,,2014-03-15,33.443011,-112.556876,416  S Watson Rd,Buckeye,85326,AZ
9,,,2015-01-01,32.878773,-111.681694,2453 E. Florence Blvd,Casa Grande,85194,AZ
10,,,2016-09-01,35.174151,-111.663194,2650 South Beulah Blvd,Flagstaff,86001,AZ
11,,,2014-01-01,34.922962,-110.145558,2096 Navajo Blvd,Holbrook,86025,AZ
12,,,2014-01-01,35.191331,-114.065592,789 W Beale St,Kingman,86401,AZ
13,,,2014-10-01,34.32753,-112.11846,14925 Cordes Lakes Rd,Mayer,86333,AZ
14,,,2016-09-01,36.924902,-111.468041,600 Clubhouse Drive,Page,86040,AZ
15,SHOPPING_MALL,,2018-07-23,33.511837,-112.026803,2502 East Camelback Road,Phoenix,85016,AZ
16,,,2018-07-23,33.667055,-112.120898,2805 Agua Fria Fwy,Phoenix,85027,AZ
17,,,2013-11-01,33.660784,-114.241801,1451 West Main Street,Quartzsite,85346,AZ
18,SHOPPING_MALL,,2018-07-23,33.623538,-111.922986,15059 N. Scottsdale Rd,Scottsdale,85254,AZ
19,,,2018-07-23,32.325618,-110.931033,2905 East Skyline Drive,Tucson,85718,AZ
20,,,2018-07-23,32.083995,-110.803381,9255 S Rita Rd,Tucson,85747,AZ
21,,,2018-07-23,32.270148,-109.845989,1251 Virginia Avenue,Willcox,85643,AZ
22,,,2014-02-15,32.726686,-114.619093,310  North Madison Avenue,Yuma,85364,AZ
23,,,2013-06-01,35.486585,-120.666378,6950 El Camino Real,Atascadero,93422,CA
24,,,2018-07-23,35.262655,-116.08074,71808 Baker Blvd,Baker,92309,CA
25,,,2016-10-01,35.354643,-119.331607,29541 Stockdale Hwy,Bakersfield,93314,CA
26,,,2013-06-01,34.849124,-117.085459,2812 Lenwood Rd.,Barstow,92311,CA
27,,,2013-06-01,34.614555,-120.188432,555 McMurray Rd,Buellton,93427,CA
28,,,2015-11-01,34.184915,-118.311702,495 North Third Street,Burbank,91502,CA
29,,,2016-02-01,35.400105,-119.397796,20673 Tracy Ave.,Buttonwillow,93206,CA
30,,,2015-01-01,33.931316,-116.820082,48400 Seminole Drive,Cabazon,92230,CA
31,,,2013-06-01,36.254143,-120.23792,24505 W Dorris Ave,Coalinga,93210,CA
32,,,2018-07-23,37.970182,-122.058569,2001 Diamond Blvd.,Concord,94520,CA
33,,,2013-10-31,39.92646,-122.1984,950 Hwy 99 W,Corning,96021,CA
34,,,2016-09-01,41.752393,-124.1944,1000 Front Street,Crescent City,95531,CA
35,,,2015-01-01,33.986765,-118.390162,6000 Sepulveda Blvd.,Culver City,90230,CA
36,,,2018-07-23,37.324431,-122.009041,19500 Vallco Parkway,Cupertino,95014,CA
37,,,2018-07-23,33.934471,-118.121217,251 Stonewood Street,Downey,90241,CA
38,,,2018-07-23,33.953385,-118.112905,9500 Lakewood Boulevard,Downey,90240,CA
39,,,2015-12-01,37.703163,-121.925304,6701 Amador Plaza Road,Dublin,94568,CA
40,,,2018-07-23,37.459637,-122.137653,1771 East Bayshore Road,East Palo Alto,94303,CA
41,,,2015-01-01,32.760837,-115.532486,3551 S Dogwood Rd,El Centro,92243,CA
42,,,2016-08-15,40.778885,-124.188383,3300 Broadway St.,Eureka,95501,CA
43,,,2018-07-23,38.261782,-122.052399,1350 Travis Blvd.,Fairfield,94533,CA
44,,,2015-04-01,37.473828,-119.635893,1122 Highway 41,Fish Camp,93623,CA
45,,,2013-06-01,38.642291,-121.18813,220 Iron Point Rd.,Folsom,95630,CA
46,,,2016-08-15,38.647199,-121.118344,220 Palladio Parkway,Folsom,95630,CA
47,,,2015-05-01,33.70275,-117.934297,17940 Newhope Street,Fountain Valley,92708,CA
48,,,2018-07-23,37.544293,-121.984002,39201 Fremont Blvd.,Fremont,94538,CA
49,,,2013-06-01,37.492713,-121.944627,45500 Kato Rd,Fremont,94538,CA
50,,,2016-02-01,36.835455,-119.91058,6623 N Riverside Dr,Fresno,93722,CA
51,,,2013-06-01,37.02445,-121.56535,Leavesley Rd,Gilroy,95020,CA
52,,,2018-07-23,34.145132,-118.257249,899 Americana Way,Glendale,91210,CA
53,,,2017-01-15,37.838679,-120.23199,11875 Ponderosa Lane,Groveland,95321,CA
54,,,2018-07-23,36.989864,-121.380447,10021 Pacheco Pass Hwy,Hollister,95023,CA
55,,,2014-10-01,33.741291,-116.215029,42100 Jackson Street,Indio,92203,CA
56,,,2015-03-01,35.646451,-117.812644,1353 Brown Road,Inyokern,93527,CA
57,,,2018-07-23,35.987304,-119.961818,27675 Bernard Drive,Kettleman City,93239,CA
58,,,2018-07-23,33.698633,-117.348704,17600 Collier Avenue,Lake Elsinore,92530,CA
59,SHOPPING_CENTER,,2013-06-01,34.98737,-118.946272,5602 Dennis McCarthy Drive,Lebec,93243,CA
60,,,2015-02-01,36.60059,-118.061916,701 S Main St,Lone Pine,93545,CA
61,,,2015-12-31,37.644519,-118.965499,1475 Tavern Road,Mammoth Lakes,93546,CA
62,,,2015-02-01,37.782622,-121.228683,960 Perimeter Dr,Manteca,95337,CA
63,,,2015-04-01,35.068595,-118.174576,16940 California 14,Mojave,93501,CA
64,,,2017-09-01,36.585749,-121.898726,1410 Del Monte Center,Monterey,93940,CA
65,SHOPPING_CENTER,,2018-07-23,41.31032,-122.315934,134 Morgan Way,Mount Shasta,96067,CA
66,HOTEL,,2013-10-31,41.310222,-122.31731,111 Morgan Way,Mt. Shasta,96067,CA
67,,,2018-07-23,37.415328,-122.076575,1401 N. Shoreline Blvd.,Mountain View,94043,CA
68,,,2016-07-15,38.235578,-122.263886,221 Devlin Rd,Napa,94558,CA
69,,,2015-02-01,34.850835,-114.624329,2451 Needles HWY,Needles,92363,CA
70,SHOPPING_CENTER,,2014-10-01,34.238115,-119.178084,2751 Park View Ct,Oxnard,93036,CA
71,,,2015-02-01,38.242676,-122.625023,401 KENNILWORTH DRIVE,Petaluma,94952,CA
72,,,2015-01-01,34.113584,-117.529427,12642 Cultural Center Dr.,Rancho Cucamonga,91739,CA
73,,,2015-02-01,33.894227,-118.367407,2410 Marine Avenue,Redondo Beach,90278,CA
74,,,2018-07-23,33.98152,-117.376073,3370 9th St,Riverside,92501,CA
75,,,2015-03-01,38.80086,-121.210529,4361 Granite Drive,Rocklin,95677,CA
76,SHOPPING_MALL,,2014-04-15,38.771208,-121.266149,1151 Galleria Blvd,Roseville,95678,CA
77,SHOPPING_MALL,,2018-07-23,38.6378,-121.497172,3668 N. Freeway Blvd.,Sacramento,95834,CA
78,SHOPPING_MALL,,2018-07-23,36.715623,-121.653963,1606 North Main Street,Salinas,93906,CA
79,,,2018-07-23,34.084096,-117.299376,500 Inland Center Drive,San Bernardino,92408,CA
80,,,2018-07-23,37.503005,-122.24544,1127 Industrial Road,San Carlos,94070,CA
81,,,2018-07-23,33.436793,-117.626864,101 West Avenida Vista Hermosa,San Clemente,92672,CA
82,,,2015-02-01,32.902166,-117.193699,10155 Pacific Heights Blvd,San Diego,92121,CA
83,,,2018-07-23,32.71915,-117.159545,1350 6th Avenue,San Diego,92101,CA
84,,,2014-05-01,33.498538,-117.66309,31971  Camino Capistrano,San Juan Capistrano,92675,CA
85,,,2018-07-23,35.265129,-120.676216,100 Madonna Road,San Luis Obispo,93405,CA
86,,,2015-03-01,37.5447,-122.29011,1200 Park Place,San Mateo,94403,CA
87,,,2018-07-23,37.558395,-122.28434,2220 Bridgepointe Pkwy,San Mateo,94404,CA
88,,,2017-11-01,33.775859,-117.872041,2800 N. Main Street,Santa Ana,92705,CA
89,,,2015-06-01,36.61697,-121.843973,1901 Del Monte Boulevard,Seaside,93955,CA
90,,,2018-07-23,37.37339,-122.032893,298 W. McKinley Ave.,Sunnyvale,94086,CA
91,,,2016-05-01,33.52421,-117.152568,40820 Winchester Rd.,Temecula,92591,CA
92,,,2015-11-01,39.321865,-120.1621,11209 Brockway Road,Truckee,96161,CA
93,,,2014-08-15,39.327438,-120.20741,11290 Donner Pass Rd,Truckee,96161,CA
94,,,2016-12-01,34.12046,-116.050953,73829 Baseline Road,Twentynine Palms,92277,CA
95,,,2016-01-01,39.1481,-123.208604,250 W Clay St.,Ukiah,95482,CA
96,,,2013-12-15,38.366645,-121.958136,321 Nut Tree Road,Vacaville,95687,CA
97,,,2018-07-23,34.430977,-118.554099,24061 Newhall Ranch Road,Valencia,91355,CA
98,,,2018-07-23,34.90697,-116.834617,36017 Calico Road,Yermo,92398,CA
99,,,2018-07-23,39.204837,-106.858507,38750 Highway 82,Aspen,81611,CO
100,,,2018-07-23,40.020289,-105.257022,1710 29th Street,Boulder,80301,CO
101,,,2015-12-31,38.837573,-104.824889,215 North Cascade Avenue,Colorado Springs,80903,CO
102,,,2015-01-01,39.77512,-104.794648,4310 Airport Way,Denver,80239,CO
103,,,2018-07-23,40.38382,-105.519754,333 Wonderview Avenue,Estes Park,80517,CO
